delay,condition,slider.rt,,1.919768406,1.929566666,1.927726049,
0.7,expected,3.067122625,,,,,
0.4,expected,1.929099167,,,expected ,unexpected,difference
0.7,expected,2.030711834,,SHORT DELAY,1.919768406,1.93127236,-0.01150395382
0.4,expected,1.863966542,,MID DELAY,1.925054741,1.915148689,0.009906051207
0.4,expected,2.500485916,,LONG DELAY,1.927726049,1.901099762,0.02662628766
0.1,expected,1.305579958,,,,,
0.7,expected,1.327595542,,,,,
0.1,unexpected,4.003452583,,1.93127236,,,
0.1,expected,2.136150583,,,,,
0.7,unexpected,1.850186208,,,,1.901099762,
0.1,expected,1.613903417,,,,,
0.4,unexpected,1.457063875,,,1.915148689,,
0.4,expected,2.071050667,,,,,
0.1,expected,1.584544708,,,,,
0.1,expected,1.084052,,,,,
0.4,expected,1.138710334,,,,,
0.1,expected,1.10231675,,,,,
0.7,unexpected,2.454527917,,,,,
0.7,expected,4.746339958,,,,,
0.4,unexpected,2.049631791,,,,,
0.7,expected,2.747393166,,,,,
0.7,expected,2.193973417,,,,,
0.4,expected,3.999455875,,,,,
0.1,unexpected,3.483639375,,,,,
0.1,expected,1.521992125,,,,,
0.1,expected,1.951352583,,,,,
0.7,expected,1.316659709,,,,,
0.7,expected,2.768773042,,,,,
0.1,unexpected,3.176850125,,,,,
0.1,expected,1.482688667,,,,,
0.4,expected,2.221409916,,,,,
0.4,expected,1.759455958,,,,,
0.4,expected,1.430096708,,,,,
0.7,unexpected,2.249282333,,,,,
0.4,unexpected,2.475491084,,,,,
0.7,expected,2.664089458,,,,,
0.4,unexpected,1.571679792,,,,,
0.1,expected,1.480471875,,,,,
0.4,expected,2.041838583,,,,,
0.7,expected,2.314533291,,,,,
0.1,unexpected,1.43107975,,,,,
0.4,expected,1.774890792,,,,,
0.1,expected,1.209921958,,,,,
0.7,unexpected,3.016153167,,,,,
0.7,expected,1.581749333,,,,,
0.7,expected,2.059285459,,,,,
0.4,expected,1.497567208,,,,,
0.1,expected,1.323753959,,,,,
0.1,expected,1.470397958,,,,,
0.1,expected,1.459512958,,,,,
0.7,expected,2.091245833,,,,,
0.4,expected,1.732190125,,,,,
0.1,expected,1.711788833,,,,,
0.7,unexpected,2.107607833,,,,,
0.1,unexpected,1.576689416,,,,,
0.4,expected,1.239205792,,,,,
0.7,expected,1.074840833,,,,,
0.4,unexpected,1.034527375,,,,,
0.4,expected,0.861276166,,,,,
0.7,expected,3.841592583,,,,,
0.1,expected,1.464962083,,,,,
0.4,expected,1.222588083,,,,,
0.4,unexpected,1.314765583,,,,,
0.1,expected,1.0080405,,,,,
0.1,expected,0.8729991249,,,,,
0.4,expected,1.182173667,,,,,
0.7,expected,3.192660458,,,,,
0.4,expected,3.863455292,,,,,
0.1,unexpected,1.79048575,,,,,
0.7,unexpected,1.043816125,,,,,
0.7,expected,0.974539708,,,,,
0.7,expected,1.708650041,,,,,
0.4,expected,2.188602916,,,,,
0.7,expected,2.452453708,,,,,
0.7,unexpected,1.632354875,,,,,
0.1,expected,2.756930708,,,,,
0.4,expected,1.141476,,,,,
0.1,expected,1.458314959,,,,,
0.7,expected,3.579737167,,,,,
0.4,unexpected,0.876661167,,,,,
0.7,expected,1.290247666,,,,,
0.1,unexpected,1.348573916,,,,,
0.1,expected,2.550265625,,,,,
0.4,expected,2.384824958,,,,,
0.1,unexpected,2.055735041,,,,,
0.4,expected,1.289290375,,,,,
0.4,expected,1.101184334,,,,,
0.1,expected,1.102037,,,,,
0.7,expected,1.165091208,,,,,
